DATE	ATXRHTNSA	ATXRHTSA	ATXRLTNSA	ATXRLTSA	ATXRMTNSA	ATXRMTSA	BOXRHTNSA	BOXRHTSA	BOXRLTNSA	BOXRLTSA	BOXRMTNSA	BOXRMTSA	DNXRHTNSA	DNXRHTSA	DNXRLTNSA	DNXRLTSA	DNXRMTNSA	DNXRMTSA	LVXRHTNSA	LVXRHTSA	LVXRLTNSA	LVXRLTSA	LVXRMTNSA	LVXRMTSA	LXXRHTNSA	LXXRHTSA	LXXRLTNSA	LXXRLTSA	LXXRMTNSA	LXXRMTSA	MIXRHTNSA	MIXRHTSA	MIXRLTNSA	MIXRLTSA	MIXRMTNSA	MIXRMTSA	MNXRHTNSA	MNXRHTSA	MNXRLTNSA	MNXRLTSA	MNXRMTNSA	MNXRMTSA	PHXRHTNSA	PHXRHTSA	PHXRLTNSA	PHXRLTSA	PHXRMTNSA	PHXRMTSA	POXRHTNSA	POXRHTSA	POXRLTNSA	POXRLTSA	POXRMTNSA	POXRMTSA	SDXRHTNSA	SDXRHTSA	SDXRLTNSA	SDXRLTSA	SDXRMTNSA	SDXRMTSA	SEXRHTNSA	SEXRHTSA	SEXRLTNSA	SEXRLTSA	SEXRMTNSA	SEXRMTSA	SFXRHTNSA	SFXRHTSA	SFXRLTNSA	SFXRLTSA	SFXRMTNSA	SFXRMTSA	TPXRHTNSA	TPXRHTSA	TPXRLTNSA	TPXRLTSA	TPXRMTNSA	TPXRMTSA	WDXRHTNSA	WDXRHTSA	WDXRLTNSA	WDXRLTSA	WDXRMTNSA	WDXRMTSA
1993-01-01	72.95	72.88	66.71	66.82	71.45	71.60	64.61	64.99	61.52	61.96	65.71	66.19	61.05	61.42	44.07	44.51	55.21	55.34	84.20	84.50	75.12	75.38	84.59	85.10	81.53	81.96	93.04	93.15	86.97	87.29	81.84	81.59	73.85	74.03	79.22	79.31	72.21	72.67	60.99	61.30	66.21	66.68	66.60	66.60	62.76	62.96	69.20	69.20	70.47	70.78	51.02	51.35	63.81	64.06	76.08	76.55	79.21	79.40	77.81	78.25	67.98	68.76	63.40	64.09	68.55	69.20	65.78	66.45	72.62	73.30	68.36	69.04	84.66	84.81	68.80	69.20	80.23	80.32	86.44	86.75	92.39	92.62	90.42	90.72
1993-02-01	72.42	72.81	66.65	66.80	71.53	71.70	64.42	65.05	60.90	61.50	65.66	66.28	61.73	62.08	43.87	44.46	55.29	55.72	84.95	85.15	75.32	75.22	84.30	84.82	80.85	81.51	92.01	92.46	85.96	86.62	81.74	81.80	74.20	74.57	79.30	79.41	72.14	72.55	60.97	61.30	66.20	66.60	66.64	66.69	62.39	62.75	69.35	69.49	70.59	71.05	51.14	51.75	63.74	64.21	74.70	75.65	78.65	79.16	77.40	78.02	68.31	69.49	62.91	64.00	69.01	69.59	65.36	66.28	72.62	73.14	68.00	68.97	84.56	84.89	68.46	69.40	79.89	80.12	86.68	87.25	92.22	92.83	90.13	90.79
1993-03-01	72.61	72.96	66.93	67.03	71.75	72.06	64.30	65.27	59.14	60.05	65.85	66.36	62.61	62.95	44.20	44.62	55.32	55.69	85.58	85.82	74.73	75.28	84.16	84.65	79.29	80.17	90.76	91.54	85.19	85.99	81.16	81.62	74.43	74.69	79.19	79.46	72.80	72.80	61.71	62.02	66.96	67.18	66.81	66.91	63.28	63.57	69.80	70.03	71.11	71.76	51.87	52.07	63.81	64.29	74.24	75.16	78.38	79.12	77.08	77.55	69.16	69.90	63.24	64.09	68.94	69.30	64.95	66.07	72.26	73.06	68.00	68.71	85.33	85.32	72.29	72.59	79.60	80.28	86.67	87.45	92.62	93.25	89.95	90.63
1993-04-01	73.03	73.37	66.93	67.05	72.42	72.63	64.37	65.20	59.23	59.68	65.61	66.18	62.55	62.64	44.71	44.89	56.08	56.32	85.13	84.79	74.79	75.04	83.83	84.10	78.73	79.45	90.28	90.87	84.30	85.02	81.48	81.89	75.99	75.82	79.56	79.52	73.36	73.29	62.35	62.56	67.51	67.28	66.90	67.10	63.72	63.96	69.71	69.94	72.14	72.53	51.74	52.15	64.70	64.98	73.54	74.23	78.73	79.04	76.96	77.12	68.38	69.08	64.28	64.25	69.06	69.06	65.54	66.10	72.12	72.42	68.79	69.02	85.75	85.74	72.79	72.87	80.20	80.66	86.60	87.04	91.32	91.96	90.10	90.53
1993-05-01	73.60	73.77	67.46	67.46	73.10	73.06	64.89	65.34	60.32	60.47	66.14	66.16	62.82	62.82	45.83	45.75	56.80	56.94	84.04	83.92	74.38	74.57	83.79	83.84	78.45	78.73	89.80	90.20	84.10	84.42	82.32	82.65	76.38	76.24	79.87	79.83	73.82	73.75	62.79	62.87	67.87	67.65	67.34	67.47	64.62	64.68	69.91	70.09	73.15	73.23	52.36	52.45	65.05	65.28	73.90	73.89	78.44	78.43	76.70	76.64	68.46	68.31	64.52	64.03	69.37	68.97	66.05	65.95	72.43	72.17	68.73	68.43	85.54	85.55	74.16	73.69	81.14	81.29	86.19	86.18	91.56	91.85	90.85	90.84
1993-06-01	74.12	73.95	67.51	67.58	73.30	73.23	65.83	65.59	62.02	61.81	66.42	66.04	63.44	63.24	46.47	46.13	58.10	57.92	83.55	83.66	75.12	74.82	84.05	83.87	78.58	78.24	89.68	89.47	83.87	83.68	82.91	82.94	76.90	76.80	80.58	80.57	73.78	73.80	63.20	63.12	67.68	67.45	67.50	67.52	65.00	64.99	70.17	70.25	73.97	73.61	53.20	53.10	65.99	65.89	73.98	73.50	78.29	77.89	76.34	76.04	68.48	67.96	64.49	63.94	69.20	68.68	66.25	65.71	72.22	71.71	68.77	68.15	84.89	84.96	74.55	74.02	81.96	81.74	87.03	86.54	91.84	91.79	91.01	90.62
1993-07-01	74.57	74.30	67.89	67.83	73.68	73.47	66.70	66.09	61.89	61.34	66.95	66.29	64.12	63.76	47.26	46.83	58.82	58.48	83.83	83.81	75.66	75.53	84.32	83.94	77.96	77.32	88.98	88.72	83.42	82.89	83.55	83.55	76.55	76.89	80.92	81.04	74.53	74.30	63.55	63.15	67.87	67.62	68.00	67.87	65.67	65.41	70.55	70.49	74.23	73.72	54.11	53.88	66.61	66.36	73.44	72.79	77.82	77.40	76.29	75.76	68.33	67.48	64.78	64.24	69.33	68.84	65.93	65.23	71.67	71.06	68.56	67.83	84.86	84.94	74.49	73.94	81.93	81.75	87.17	86.53	92.57	92.09	91.68	91.08
1993-08-01	74.84	74.43	68.08	67.98	74.05	73.75	67.29	66.32	62.34	61.49	67.31	66.60	64.92	64.49	47.81	47.39	59.73	59.29	84.51	84.43	76.53	76.20	84.75	84.20	77.07	76.17	88.63	87.99	82.85	82.05	83.75	83.60	76.84	76.99	81.56	81.52	75.06	74.69	63.53	63.22	68.13	67.78	68.35	68.08	65.62	65.27	70.90	70.73	73.85	73.35	54.89	54.36	67.19	66.83	72.94	72.31	77.41	77.06	76.46	75.94	69.06	68.19	65.21	64.86	69.39	69.03	66.02	65.19	71.61	71.23	68.28	67.65	85.49	85.33	74.42	74.02	82.25	81.99	87.34	86.72	92.83	92.11	91.60	90.96
1993-09-01	75.12	74.80	68.19	67.98	74.38	74.09	67.33	66.48	62.44	61.68	67.34	66.75	65.35	65.02	48.46	48.09	60.27	60.03	85.22	85.06	76.95	76.75	85.33	84.82	76.57	75.80	87.45	86.94	82.35	81.68	84.11	83.96	77.36	77.37	81.91	81.75	75.62	75.43	63.70	63.37	68.91	68.70	68.87	68.65	66.14	65.63	71.54	71.18	74.34	73.97	55.22	55.00	67.80	67.33	73.06	72.26	77.37	77.23	76.29	75.96	69.71	69.08	66.13	65.89	69.85	69.63	66.03	65.20	71.59	71.02	67.76	67.38	86.54	86.39	74.40	74.30	83.06	82.62	86.74	86.33	93.24	92.70	91.47	91.01
1993-10-01	75.10	74.96	68.41	68.31	74.47	74.40	67.12	66.38	62.73	62.33	67.22	66.86	65.82	65.66	49.26	49.06	61.10	60.86	85.24	85.16	77.60	77.33	86.08	85.66	75.64	75.10	87.15	86.72	81.48	81.01	84.44	84.20	78.53	78.18	81.99	81.83	75.69	75.58	63.87	63.70	69.22	69.11	69.02	68.95	65.72	65.53	71.84	71.64	75.00	74.69	55.88	55.56	68.43	68.08	72.65	72.20	77.33	77.19	76.13	75.90	70.05	69.46	66.36	66.13	70.09	70.00	65.87	65.32	71.14	70.81	67.05	66.90	86.99	86.78	75.03	74.97	83.01	82.67	86.30	86.08	93.63	93.11	91.11	90.93
